eval_count,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17
16,16.180117282491757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,16.266609036263233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,16.427609922989006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,16.341175136050936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,2.300266394450871,-0.22446671205832117,-0.2291458997701981,-0.23183902641622128,-0.23750487711069762,-0.24805162805618902,-0.2423895091113713,-0.2244667120583212,-0.22914589977019814,-0.2318390264162213,-0.2375048771106975,-0.24805162805618905,-0.2423895091113713,-0.2244667120583212,-0.22914589977019814,-0.23183902641622123,-0.2375048771106975,-0.24805162805618905,-0.2423895091113713
21,1.9342531349103451,-0.4449004362205083,-0.45591131240200167,-0.4622486696243194,-0.4755813214222707,-0.5003995112296793,-0.48707564083481786,-0.4449004362205081,-0.4559113124020018,-0.4622486696243192,-0.4755813214222705,-0.5003995112296795,-0.4870756408348179,-0.4449004362205081,-0.4559113124020018,-0.4622486696243191,-0.4755813214222706,-0.5003995112296796,-0.48707564083481825
22,1.7252951409191875,-0.653373085802478,-0.6755368912964693,-0.6882933650326345,-0.7151306753699879,-0.7650872385478473,-0.738267604307005,-0.6533730858024782,-0.6755368912964699,-0.6882933650326349,-0.715130675369988,-0.7650872385478477,-0.7382676043070049,-0.6533730858024779,-0.6755368912964698,-0.6882933650326346,-0.7151306753699881,-0.7650872385478475,-0.7382676043070051
23,6.190924833849821,-0.8498149669137395,-0.8878666391633452,-0.9097674430573716,-0.9558427678609022,-1.0416101136028577,-0.99556513580049,-0.8498149669137405,-0.8878666391633461,-0.9097674430573719,-0.9558427678609018,-1.0416101136028575,-0.9955651358004893,-0.8498149669137396,-0.8878666391633457,-0.9097674430573723,-0.9558427678609017,-1.0416101136028573,-0.9955651358004892
24,1.7252951409191857,-0.6533730858024777,-0.675536891296469,-0.6882933650326342,-0.7151306753699875,-0.4115338479545759,-0.7382676043070047,-0.6533730858024779,-0.6755368912964695,-0.6882933650326346,-0.7151306753699876,-1.1186406291411237,-0.7382676043070046,-0.6533730858024775,-0.6755368912964694,-0.6882933650326343,-0.7151306753699878,-0.7650872385478472,-0.7382676043070048
25,1.8776668175896,-0.7433323003197724,-0.7659905032624026,-0.7790315295800501,-0.8064674870117716,0.24709764051414274,-0.8301205203984015,-0.7433323003197726,-0.7659905032624031,-0.7790315295800506,-0.8064674870117717,-0.46000914067241505,-0.8301205203984013,-0.7433323003197723,-0.765990503262403,-0.7790315295800503,-0.8064674870117718,-0.8575384074413495,-0.8301205203984016
