eval_count,mean_qubo_energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27
1,49.51318359375,0.10958241942238534,-0.024448624099179084,0.14343916796455297,0.07894721162374557,-0.1623290608449402,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
2,46.947265625,1.1095824194223853,-0.024448624099179084,0.14343916796455297,0.07894721162374557,-0.1623290608449402,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
3,46.2685546875,1.1095824194223853,0.975551375900821,0.14343916796455297,0.07894721162374557,-0.1623290608449402,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
4,45.88037109375,1.1095824194223853,0.975551375900821,1.143439167964553,0.07894721162374557,-0.1623290608449402,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
5,44.89404296875,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,-0.1623290608449402,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
6,44.46923828125,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,0.8376709391550599,0.19024894065470238,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
7,43.70263671875,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,0.8376709391550599,1.1902489406547023,0.10445588079614121,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
8,40.59228515625,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,0.8376709391550599,1.1902489406547023,1.104455880796141,0.11442572211078156,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
9,40.09423828125,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,0.8376709391550599,1.1902489406547023,1.104455880796141,1.1144257221107816,-0.14875454692978166,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
10,40.64111328125,1.1095824194223853,0.975551375900821,1.143439167964553,1.0789472116237455,0.8376709391550599,1.1902489406547023,1.104455880796141,1.1144257221107816,0.8512454530702184,-0.019845624841773157,-0.05168079030696751,0.1707059955394407,0.05754604803226582,0.129104645308332,-0.022634320469067548,-0.10910451128608925,0.021833914806333926,-0.17447309755832988,0.13105246879703286,0.052665759648825916,0.10323509603414954,-0.05818961274805265,0.1882792097579613,0.1572484485288791,0.11135339882950474,-0.12214451685921297,-0.01331159850918634,-0.1824784936851085
