eval_count,mean_qubo_energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39
1,24.05109116868517,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
2,23.587902055667136,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
3,35.25060606847203,2.2840397745833485,1.1740830106364804,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
4,35.25304025744615,2.2840397745833485,0.17408301063648043,1.1740830106364804,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
5,35.5706519491935,2.2840397745833485,0.17408301063648043,0.17408301063648043,1.1740830106364804,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
6,22.879984813332662,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,2.2840397745833485,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
7,34.5164383421045,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,2.2840397745833485,1.1740830106364804,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
8,22.42921574041177,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,2.2840397745833485,0.17408301063648043,2.2840397745833485,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
9,34.232023422617324,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,2.2840397745833485,0.17408301063648043,2.2840397745833485,1.1740830106364804,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
10,34.35335022484575,2.2840397745833485,0.17408301063648043,0.17408301063648043,0.17408301063648043,2.2840397745833485,0.17408301063648043,2.2840397745833485,0.17408301063648043,1.1740830106364804,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,1.2840397745833483,0.17408301063648043,1.2840397745833483,0.17408301063648043,0.17408301063648043,0.17408301063648043,1.2840397745833483,1.2840397745833483
